Titel;Indicatornaamtabel;Subtitel;kwantitatief / categoraal / multiline;Plottitel (enkel bij kwantitatief);Categorie;Tekst vraagteken;KEA;Link kaartverhaal;Bron;Kleur;Domein;Opmerking Arjen voor Daniël;klassenthresholds
Waterdiepte bij hevige bui;perc5_10mm,perc10_15mm,perc15_20mm,perc20_30mm,perc30mmME,percNODATA;Waterdiepte bij hevige bui van 70 mm / 2 uur;Multiline;;Effecten;Deze statistieken laten zien welke waterdiepte ontstaat bij een hevige zomerbui. De grafieken tonen het percentage van een gebied per waterdiepteklasse. Gebouwen, oppervlaktewater en gebieden met minder dan 5 cm worden niet getoond met gekleurde balkjes. De statistieken gaan uit van een gelijke rioolbergings- en afvoercapaciteit en van de hoogtekaart van 2012. Dat betekent dat deze informatie niet bruikbaar is voor gebieden die na 2012 zijn ontwikkeld of aangepast. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.;ja;https://www.klimaateffectatlas.nl/nl/waterdiepte-bij-kortdurende-hevige-neerslag;Klimaateffectatlas: Deltares / ROR (2018);#B6EEF0,#74B4E9,#2084E0,#1D45B8,#002674;5 - 10cm,10 - 15cm,15 - 20cm,20 - 30cm,>30cm;;
Gevoelstemperatuur;F23_28perc,F29_34perc,F35_40perc,F41_49perc;Gevoelstemperatuur (°C) op een hete zomerdag;Multiline;;Effecten;Deze percentages laten zien hoe hoog de gevoelstemperatuur in de buitenruimte wordt op een hete zomerdag. Zo’n hete zomerdag komt in het huidige klimaat eens in de 5,5 jaar voor. Vooral buurten met weinig schaduw en veel verharding warmen sterk op. Wil je weten waarop deze percentages zijn gebaseerd? Ga dan naar het kaartverhaal.;ja;https://www.klimaateffectatlas.nl/nl/hittekaart-gevoelstemperatuur;Klimaateffectatlas: Witteveen+Bos (2021);#954A86,#87E3F0,#FFF469,#DA2600;23 - 28°C,29 - 34°C,35 - 40°C,41 - 49°C;Graag naast de vier oppervlakte ook het percentage oppervalkte zonder hittestress data toevoegen,dit zit in attribuut NDPETperc;
Grondwaterstand huidig;GLGHuidigMean;Huidige grondwaterstand (meter onder maaiveld);Kwantitatief;Meter onder maaiveld;Effecten;Deze statistieken laten de Gemiddelde Laagste Grondwaterstand (GLG) zien voor het huidige klimaat. De getallen tonen het aantal meters onder het maaiveld. De GLG is gemodelleerd met het Nationaal Water Model. De kaarten geven een grof beeld en zijn dus alleen bedoeld ter indicatie.;ja;https://www.klimaateffectatlas.nl/nl/laagste-grondwaterstanden;Klimaateffectatlas: NWM (2019);#CBCBCB,#a0b7c7,steelblue;;;
Grondwaterstand 2050 hoog;GLG2050HoogMean;Verschil grondwaterstand nu - 2050 Hoog (meter);Kwantitatief;Verschil in m;Effecten;Deze statistieken laten hoe de Gemiddelde Laagste Grondwaterstand (GLG) tussen nu en 2050 verandert bij sterke klimaatverandering. De getallen tonen het aantal meters onder het maaiveld. De GLG is gemodelleerd met het Nationaal Water Model. De kaarten geven een grof beeld en zijn dus alleen bedoeld ter indicatie.;ja;https://www.klimaateffectatlas.nl/nl/laagste-grondwaterstanden;Klimaateffectatlas: NWM (2019);#CBCBCB,#a0b7c7,steelblue;;;
Risico Paalrot huidig;Paal_Huidig;Risico Paalrot in huidig klimaat;categoraal;;Effecten;Deze statistieken laten de risico’s op paalrot zien in het huidige klimaat. Het risico wordt berekend door het percentage panden met houten palen op een locatie te combineren met de gevoeligheid van die locatie voor paalrot. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.;ja;https://www.klimaateffectatlas.nl/nl/risicokaarten-funderingen;Klimaateffectatlas: Deltares (2021);#333333,#CCCCCC,#FEFEBB,#D0B867,#A26B29,#742600;Geen data,Zeer laag,Laag,Midden,Hoog,Zeer hoog;Let op: gebieden met een 0 waarde moeten niet in geen data,maar in zeer laag;0,0.8,3,6,15,10000
Risico Paalrot 2050 hoog;Paalrot_2050_Hoog;Risico op paalrot in 2050 (hoog scenario);categoraal;;Effecten;Deze statistieken laten zien wat in 2050 de risico’s op paalrot zijn als het klimaat sterk verandert. Door veranderingen in grondwaterstanden kan het risico op paalrot veranderen. Het risico wordt berekend door het percentage panden met houten palen op een locatie te combineren met de gevoeligheid van die locatie voor paalrot. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.;ja;https://www.klimaateffectatlas.nl/nl/risicokaarten-funderingen;Klimaateffectatlas: Deltares (2021);#333333,#CCCCCC,#FEFEBB,#D0B867,#A26B29,#742600;Geen data,Zeer laag,Laag,Midden,Hoog,Zeer hoog;Let op: gebieden met een 0 waarde moeten niet in geen data,maar in zeer laag;0,0.8,3,6,15,10000
Risico Verschilzetting 2050H;Verschilzetting_2050_Hoog;Risico op verschilzetting in 2050 (hoog scenario);categoraal;;Effecten;Deze statistieken laten de risico’s zien voor verschilzetting in 2050 bij sterke klimaatverandering. Het risico wordt berekend door het percentage panden op staal op een locatie te combineren met de gevoeligheid van die locatie voor verschilzetting. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.;ja;https://www.klimaateffectatlas.nl/nl/risicokaarten-funderingen;Klimaateffectatlas: Deltares (2021);#333333,#CCCCCC,#B3CEE3,#8D96C6,#8857A8,#810F7C;Geen data,Zeer laag,Laag,Matig,Hoog,Zeer hoog;Let op: gebieden met een 0 waarde moeten niet in geen data,maar in zeer laag;0,1.0,5.0,10.0,25.0,10000
Schaduw wandel- en fietspaden;P_schaduw_fw;Percentage schaduw op wandel- en fietspaden;Kwantitatief;% schaduw;Effecten;Deze statistieken laten het percentage schaduw zien op wandel- en fietspaden. De schaduwkaart gaat uit van de schaduw op 21 juni om 15:30 uur, omdat dit de langste dag van het jaar is met de kortste schaduwen. In de Maatlat groene klimaatadaptieve gebouwde omgeving   wordt hiervoor een streefwaarde van 30% op buurtniveau genoemd. De fiets- en wandelpaden komen uit de Basiskaart Grootschalige Topografie. Wil je meer informatie over deze statistieken? Ga dan naar het kaartverhaal.;ja;https://www.klimaateffectatlas.nl/nl/schaduw-op-wandel-en-fietspaden;Klimaateffectatlas: Cobra Groeninzicht (2024);#AB815A,#E2C78F,#F3E4C1,#DCE9E4,#87C8C1,#528F8A;;Arjen verwerkt opmerkingen gebruikersgroep in kaartverhaal;
Groen/Grijs/Blauw;perc_boom,perc_laaggroen,perc_nietgroen,perc_water;Percentage groen, grijs en blauw, behalve voor agrarisch gebied;Multiline;;Gebiedskenmerken;Deze statistieken laten zien welk percentage van een gebied bestaat uit bomen, laag groen, verstening (grijs) en water. De resultaten zijn gebaseerd op de Basiskaart Groen en Grijs. Voor het onderscheid tussen laag groen, bomen en verstening (grijs) zijn luchtfoto’s gebruikt. Agrarisch gebied is niet meegenomen in de analyse. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#63995C,#9DC182,#CBCBCB,#5b93e1;Boom,Laag Groen,Grijs,Water;"Graag naast de vier oppervlaktes ook Agrarisch toevoegen en tonen zoals bij waterdiepte. Berekenen agrarisch = is totaal oppervlakte buurt - (som deze 4 indicatoren) Agrarisch = buurt_opp_incl_agrarisch - m2LaagGroen_excl_agrarisch - m2Boom_excl_agrarisch - m2Grijs_excl_agrarisch - m2Water";
Percentage groen;"perc_groen_zonder_agr";Percentage groen, behalve voor agrarisch gebied;Kwantitatief;% groen;Gebiedskenmerken;Deze statistieken laten de totale hoeveelheid groen (laag groen en bomen) per gebied zien. De resultaten zijn gebaseerd op de Basiskaart Groen en Grijs. Agrarisch gebied is niet meegenomen in de analyse. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal.;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#CBCBCB,#9DC182,#63995C;;Percentage groen =  (m2Groen_excl_agrarisch / 100) * buurt_opp_zonderagr;
Groen en grijs niet-openbaar;boom_perc_niet_openbaar,niet_openbaar_perc_groen,niet_openbaar_perc_nietgroen;Groen in niet-openbaar gebied;Multiline;;Gebiedskenmerken;Deze statistieken laten zien welk percentage van het niet-openbaar gebied bestaat uit bomen, laag groen en overige gebieden (grijs). Grijs bestaat uit stenen, verharding, kale grond en zandverstuiving. De resultaten zijn gebaseerd op de Basiskaart Groen en Grijs. Voor het onderscheid tussen laag groen, bomen en grijs zijn luchtfoto’s gebruikt. Agrarisch gebied is niet meegenomen in de analyse. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal. ;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#63995C,#9DC182,#CBCBCB;Boom,Laag Groen,Grijs;"Boom = boom_niet_openbaarLaag groen = niet_openbaar_m2_groenGrijs = niet_openbaar_m2_nietgroen";
Groen en grijs openbaar;boom_perc_openbaar,openbaar_perc_groen,openbaar_perc_nietgroen;Groen in openbaar gebied;Multiline;;Gebiedskenmerken;Deze statistieken laten zien welk percentage van het openbaar gebied bestaat uit bomen, laag groen en overige gebieden (grijs). Grijs bestaat uit stenen, verharding, kale grond en zandverstuiving. De resultaten zijn gebaseerd op de Basiskaart Groen en Grijs. Voor het onderscheid tussen laag groen, bomen en grijs zijn luchtfoto’s gebruikt. Agrarisch gebied is niet meegenomen in de analyse. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal. ;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#63995C,#9DC182,#CBCBCB;Boom,Laag Groen,Grijs;"Boom = boom_openbaarLaag groen = openbaar_m2_groenGrijs = openbaar_m2_nietgroen";
Groen per inwoner;m2GroenPI;Aantal m2 groen per inwoner;Kwantitatief;m2 groen per inwoner;Gebiedskenmerken;Deze statistieken laten de hoeveelheid vierkante meter groen per inwoner zien op basis van de Basiskaart Groen en Grijs en de Wijk- en Buurtkaart van het CBS. ;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#CBCBCB,#9DC182,#63995C;;;
Functionele gebieden;bebouwing_opp,openbaar_opp,overig_opp,nietopenbaar_opp,transitie_opp,water_opp,agrarisch_opp;Indeling in functionele gebieden uit Basiskaart Groen en Grijs;Multiline;;Gebiedskenmerken;Deze statistieken laten zien hoeveel procent van een gebied bestaat uit bebouwing, openbaar gebied, niet-openbaar gebied, gebied in transitie, water, agrarisch gebied en overige functies. Deze verdeling in functionele gebieden is een belangrijke factor voor adaptatiemogelijkheden. In buurten met veel openbaar gebied liggen bijvoorbeeld andere maatregelen voor de hand dan in gebieden met veel tuinen. De indeling in functionele gebieden komt uit de Basiskaart Groen en Grijs. Ga naar het kaartverhaal voor meer informatie over deze indeling. ;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#FF7F7E,#D2B87F,#E8BEFF,#B6FFF1,#FFD37F,#B4DAFF, #D0E5A4;Bebouwing,Openbaar,Overig,Niet-openbaar,In transitie,Water, Agrarisch;"Graag naast de vier oppervlaktes ook Agrarisch toevoegen en onzichtbaar tonen zoals bij waterdiepte. URL naar Extra Excel: https://casclimate-my.sharepoint.com/:x:/g/personal/info_casclimate_onmicrosoft_com/EaS7-G_Sy1hKutVUBapEV2oBPaU0YV6KRTb_RBBAFvOL4Q?e=FctFRSFunctioneel gebied = (openbaar_oppervlakte + boom_openbaar_oppervlakte)/buurt_opp_incl_agrarisch,(niet_openbaar_oppervlakte + boom_niet_openbaar_oppervlakte)/buurt_opp_incl_agrarisch,(bebouwing_oppervlakte + boom_bebouwing_oppervlakte)/buurt_opp_incl_agrarisch,(water_oppervlakte + boom_water_oppervlakte)/buurt_opp_incl_agrarisch,(agrarisch_oppervlakte + boom_agrarisch_oppervlakte)/buurt_opp_incl_agrarisch,(overig_oppervlakte + boom_overig_oppervlakte)/buurt_opp_incl_agrarisch,(transitie_oppervlakte + boom_transitie_oppervlakte/buurt_opp_incl_agrarisch";
Percentage water;percentage_water_excl_agrarisch;Percentage water per buurt;;;;;;;;;;;
Bevolkingsdichtheid;BEV_DICHTH;Aantal inwoners per km2;Kwantitatief;Aantal inwoners per km2;Gebiedskenmerken;Deze statistieken laten het aantal inwoners per km2 zien op basis van de CBS Wijk en Buurtkaart 2022. In buurten met een hoge bevolkingsdichtheid worden veel mensen blootgesteld aan klimaateffecten. Tegelijk is de druk op de buitenruimte daar vaak hoog waardoor er minder ruimte is voor adaptiemaatregelen.;nee;https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2022;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
Gemiddelde WOZ-waarde;G_WOZ;Gemiddelde WOZ-waarde (in euro’s);Kwantitatief;WOZ-waarde in €;Gebiedskenmerken;Deze statistieken laten de gemiddelde WOZ-waarde per buurt zien op basis van de Wijk- en Buurtkaart 2022 van het CBS. De WOZ-waarde geeft een indicatie van de sociaaleconomische status van een buurt. In buurten met een hoge WOZ-waarde kunnen inwoners meestal makkelijker zelf adaptatiemaatregelen nemen. ;nee;https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2022;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
Sociaal minimum huishoudens;P_H_SOCMIN;Percentage huishoudens op of rond het sociaal minimum, kwetsbaar voor hitte;Kwantitatief;% huishoudens;Kwetsbaarheid;Deze statistieken laten het percentage huishoudens zien dat leeft rond of onder het sociaal minimum. Deze groep is extra kwetsbaar voor hitte. Wil je meer weten over de relatie tussen sociale kwetsbaarheid en hitte? Ga dan naar het kaartverhaal.  ;ja;https://www.klimaateffectatlas.nl/nl/sociale-kwetsbaarheid-hitte;CBS (2020);#CBCBCB,#a0b7c7,steelblue;;;
Hitte en broze 65-plussers;BrozeGezon;Percentage broze 65-plussers;Kwantitatief;% broze 65+ers;Kwetsbaarheid;Deze statistieken laten het percentage 65-plussers zien met een broze gezondheid. Deze groep is extra kwetsbaar voor hitte. Het begrip broosheid omvat fysieke gezondheid, mentale gezondheid en sociale gezondheid. Wil je meer weten over de relatie tussen 65-plussers met een broze gezondheid en hitte? Ga dan naar het kaartverhaal.  ;ja;https://www.klimaateffectatlas.nl/nl/sociale-kwetsbaarheid-hitte;RIVM (2022);#CBCBCB,#a0b7c7,steelblue;;;
Ernstige eenzaamheid;F18ErnstigZ;Percentage inwoners dat ernstig eenzaam is;Kwantitatief;% ernstig eenzaam;Kwetsbaarheid;Deze statistieken tonen het percentage ernstig eenzame mensen boven de 18 jaar. Deze mensen zijn extra kwetsbaar voor hitte omdat ze weinig sociale contacten hebben. Dit vergroot het risico op uitdroging en oververhitting bij een hittegolf. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM. ;nee;https://buurtatlas.vzinfo.nl/#ernstige_eenzaamheid;RIVM (2020);#CBCBCB,#a0b7c7,steelblue;;;
Moeite met rondkomen;F18MoeiteMe;Percentage inwoners dat moeite heeft met rondkomen;Kwantitatief;% moeite met rondkomen;Kwetsbaarheid;Deze statistieken tonen het percentage mensen boven de 18 jaar dat in 2020 moeite had met rondkomen. Deze groep heeft minder financiële ruimte om maatregelen te nemen tegen hitte. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM.;nee;https://buurtatlas.vzinfo.nl/#moeite_met_rondkomen;RIVM (2020);#CBCBCB,#a0b7c7,steelblue;;;
Ernstig overgewicht;F1865ErnsOv;Percentage inwoners met ernstig overgewicht;Kwantitatief;% met ernstig overgewicht;Kwetsbaarheid;Deze statistieken tonen het percentage mensen boven de 18 jaar met ernstig overgewicht.  Deze mensen is extra kwetsbaar voor hitte. Dit vergroot het risico op uitdroging en oververhitting bij een hittegolf. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM. ;nee;https://buurtatlas.vzinfo.nl/#ernstig_overgewicht;RIVM (2020);#CBCBCB,#a0b7c7,steelblue;;;
Percentage huurwoningen;HuurwTperc;Percentage huurwoningen ;Kwantitatief;% huurwoningen;Kwetsbaarheid;Deze statistieken tonen hoeveel procent van de woningen bestaat uit huurwoningen. Voor bewoners van huurwoningen is het lastiger om grote aanpassingen te doen aan hun woning. Ze kunnen bijvoorbeeld niet zomaar zonneschermen plaatsen. De statistieken komen van de CBS Wijk- en Buurtkaart 2022.;nee;https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2022;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
Geboortes;Geboorte;Aantal geboortes per 100 inwoners;Kwantitatief;Geboortes per 100 inwoners;;De statistieken tonen het aantal geboortes per 100 inwoners. Pasgeboren baby’s zijn extra kwetsbaar omdat ze weinig weerstand hebben tegen extreme temperaturen. Deze statistieken komen van de Wijk- en Buurtkaart van het CBS.;nee;externe data;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
